fran_id,team_id
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
Lakers,MNL
